"","ctl1colon","ctl2colon","ctl3colon","t6b1colon","t6b2colon","t6b3colon"
"ENSMUSG00000103922",128.350166935376,157.618418100669,128.516377368172,102.209302124791,96.0703802256571,35.074685479406
"ENSMUSG00000033845",1090.50104796205,1107.2693871572,992.107488925512,1332.20533564927,1344.05260102109,1125.31282579761
"ENSMUSG00000025903",4238.40773479931,3816.33594826245,3352.13550968649,4307.88979069149,4151.54623674174,4075.48359334321
"ENSMUSG00000033813",1408.99961035724,1518.06238933207,1373.7621853522,1113.84909929176,1179.89350471317,1161.36180809589
"ENSMUSG00000033793",1917.64656821225,1668.78500164083,1585.03532087412,1574.95242819565,1543.65513857731,1786.86036581196
"ENSMUSG00000025907",2958.70903335474,3495.18842138234,3272.29957829111,2676.02536472181,2969.78728775235,2736.79976421254
"ENSMUSG00000090031",96.0249397072073,149.737497195636,146.041337918378,140.537790421588,138.04287644075,147.118819649731
"ENSMUSG00000033740",40.8819050238605,60.0920219008801,55.4957084089835,63.8808138279945,36.3761633864139,43.8433568492575
"ENSMUSG00000051285",1419.45777210753,1852.01641268286,1717.44613392012,1127.78673139969,1306.74371549656,1564.72069110906
"ENSMUSG00000103509",16.1626136140844,75.853863710947,72.0470600397329,36.0055496121424,57.8287725630169,69.1750741399397
"ENSMUSG00000061024",272.862947484837,382.224663894123,385.549132104517,327.534354536263,413.195907184137,339.055292967592
"ENSMUSG00000025911",64.6504544563376,32.508798733263,52.5748816506159,49.9431817200685,58.7614947011301,55.5349186757262
"ENSMUSG00000025912",61.7982285244403,129.050079819923,123.648332770893,141.699259763915,158.56276347924,105.224056438218
"ENSMUSG00000045210",1553.5123909067,2024.41155748047,1769.04740665128,1960.56024984827,1729.26684406183,1765.42583579677
"ENSMUSG00000025915",165.42910405004,198.993252852095,166.48712522695,282.237050185503,298.471084196216,277.674593378631
"ENSMUSG00000098234",197.754331278209,142.841691403731,171.35516982423,146.345137133224,164.159096307919,151.01600692522
"ENSMUSG00000099032",20.9163235005798,13.7916115838085,15.5777427112936,69.6881605396304,153.899152788674,59.4321059512158
"ENSMUSG00000025917",1947.11956950852,1715.08541195791,1716.47252500066,1772.40221639127,1876.63694188371,1803.42341173279
"ENSMUSG00000056763",430.686115716484,644.265283986485,649.397149277052,560.989692344025,660.367273784128,645.958790912394
"ENSMUSG00000067851",6191.23175617162,7332.2117870205,7020.69391819614,6791.11124458698,7685.63041805257,7564.44050172523
"ENSMUSG00000016918",29.4730012962715,48.2706405433299,50.6276638117042,61.5578751433402,49.4342733199983,79.892339147536
"ENSMUSG00000005886",1670.45365411449,1893.39124743429,1948.19144783116,1735.2351974368,1984.83270990484,1894.03301588793
"ENSMUSG00000025935",3282.91204761373,3230.19245595059,2951.98224379014,3360.13080735251,2767.38658378179,2994.98842121373
"ENSMUSG00000025937",1466.99487097248,1278.67941684168,1216.03754040036,1296.19978603713,1095.01579014487,1348.42679731939
"ENSMUSG00000067813",465.86356887655,341.834944255826,346.604775326283,272.945295446886,291.942029229424,327.363731141123
"ENSMUSG00000025925",365.084919282848,340.849829142697,325.185379098254,325.211415851609,390.810575869421,365.361307077146
"ENSMUSG00000043716",23947.2889242093,19372.2886996854,17995.2136583025,13722.7602795956,14448.7986415112,14444.9246366021
"ENSMUSG00000025921",777.706937430649,843.25853683858,804.200967470532,902.461678988214,839.449924301858,877.841433804023
"ENSMUSG00000025920",501.041022036616,516.200319279691,520.88077190888,459.941859561561,486.880956095078,454.022317594534
"ENSMUSG00000025939",764.396549748462,962.457465527211,858.72306696006,708.496298819576,777.890263186389,639.138713180288
"ENSMUSG00000079658",1588.68984406677,1430.38714426357,1322.16091262104,1549.40010266445,1380.4287644075,1385.45007643654
"ENSMUSG00000025940",1111.41737146263,1042.25178969067,891.825770221559,875.747884114689,878.624254102612,816.460734215063
"ENSMUSG00000025779",169.232071959237,190.127216833932,166.48712522695,183.512156087693,130.581099335845,113.018430989197
"ENSMUSG00000043760",90.3204878434128,179.290950589511,182.064867938244,130.084566340643,197.737093279993,171.476240121541
"ENSMUSG00000041859",645.553802586077,451.182721813165,537.432123539629,537.760305497481,496.208177476209,947.016507943963
"ENSMUSG00000025931",1000.18056011863,692.535924529815,667.895718746713,1473.90459541318,1580.03130196372,1098.03251486918
"ENSMUSG00000041779",108.384585412095,112.303122896727,114.88585249579,192.803910826311,224.786035285275,132.504367366645
"ENSMUSG00000025933",74.1578742293284,59.1069067877509,51.6012727311601,48.7817123777413,62.4923832535828,71.1236677776845
"ENSMUSG00000025934",318.498562395192,350.700980273989,317.396507742607,298.497620978084,287.278418538858,508.582939451387
"ENSMUSG00000025936",61.7982285244403,58.1217916746217,46.7332281338808,40.6514269814511,10.2599435192449,14.6144522830858
"ENSMUSG00000082935",100.778649593703,53.1962161089758,78.8623224759239,60.396405801013,64.3578275298091,60.4064027700882
"ENSMUSG00000026158",142.611296594862,159.588648326927,177.196823340965,156.798361214168,106.330323744902,133.478664185517
"ENSMUSG00000026155",692.140159473732,652.146204891519,742.863605544814,782.830336728515,750.841321181106,853.484013332213
"ENSMUSG00000026154",317.547820417893,232.487166698487,172.328778743686,349.602272040479,264.893087224142,238.702720623736
"ENSMUSG00000026153",2244.70180840313,3298.1653987565,3008.45156111858,2878.12103028674,3169.38982530857,3440.24206743841
