"","ctl1colon","ctl2colon","ctl3colon","t6b1colon","t6b2colon","t6b3colon"
"ENSMUSG00000103922",135,160,132,88,103,36
"ENSMUSG00000033845",1147,1124,1019,1147,1441,1155
"ENSMUSG00000025903",4458,3874,3443,3709,4451,4183
"ENSMUSG00000033813",1482,1541,1411,959,1265,1192
"ENSMUSG00000033793",2017,1694,1628,1356,1655,1834
"ENSMUSG00000025907",3112,3548,3361,2304,3184,2809
"ENSMUSG00000090031",101,152,150,121,148,151
"ENSMUSG00000033740",43,61,57,55,39,45
"ENSMUSG00000051285",1493,1880,1764,971,1401,1606
"ENSMUSG00000103509",17,77,74,31,62,71
"ENSMUSG00000061024",287,388,396,282,443,348
"ENSMUSG00000025911",68,33,54,43,63,57
"ENSMUSG00000025912",65,131,127,122,170,108
"ENSMUSG00000045210",1634,2055,1817,1688,1854,1812
"ENSMUSG00000025915",174,202,171,243,320,285
"ENSMUSG00000098234",208,145,176,126,176,155
"ENSMUSG00000099032",22,14,16,60,165,61
"ENSMUSG00000025917",2048,1741,1763,1526,2012,1851
"ENSMUSG00000056763",453,654,667,483,708,663
"ENSMUSG00000067851",6512,7443,7211,5847,8240,7764
"ENSMUSG00000016918",31,49,52,53,53,82
"ENSMUSG00000005886",1757,1922,2001,1494,2128,1944
"ENSMUSG00000025935",3453,3279,3032,2893,2967,3074
"ENSMUSG00000025937",1543,1298,1249,1116,1174,1384
"ENSMUSG00000067813",490,347,356,235,313,336
"ENSMUSG00000025925",384,346,334,280,419,375
"ENSMUSG00000043716",25188,19665,18483,11815,15491,14826
"ENSMUSG00000025921",818,856,826,777,900,901
"ENSMUSG00000025920",527,524,535,396,522,466
"ENSMUSG00000025939",804,977,882,610,834,656
"ENSMUSG00000079658",1671,1452,1358,1334,1480,1422
"ENSMUSG00000025940",1169,1058,916,754,942,838
"ENSMUSG00000025779",178,193,171,158,140,116
"ENSMUSG00000043760",95,182,187,112,212,176
"ENSMUSG00000041859",679,458,552,463,532,972
"ENSMUSG00000025931",1052,703,686,1269,1694,1127
"ENSMUSG00000041779",114,114,118,166,241,136
"ENSMUSG00000025933",78,60,53,42,67,73
"ENSMUSG00000025934",335,356,326,257,308,522
"ENSMUSG00000025936",65,59,48,35,11,15
"ENSMUSG00000082935",106,54,81,52,69,62
"ENSMUSG00000026158",150,162,182,135,114,137
"ENSMUSG00000026155",728,662,763,674,805,876
"ENSMUSG00000026154",334,236,177,301,284,245
"ENSMUSG00000026153",2361,3348,3090,2478,3398,3531
"ENSMUSG00000073725",3801,3421,3314,3345,3790,3211
"ENSMUSG00000048874",2054,2372,2376,1416,2126,1897
"ENSMUSG00000026064",38,72,59,49,76,41
"ENSMUSG00000026134",192,167,140,110,196,252
"ENSMUSG00000004768",207,212,215,160,212,148
"ENSMUSG00000042197",356,605,557,285,453,405
"ENSMUSG00000026131",4572,6431,6808,4637,7251,5896
"ENSMUSG00000102336",61,129,161,27,82,109
"ENSMUSG00000042111",411,413,442,310,372,314
"ENSMUSG00000026127",918,808,769,622,935,815
"ENSMUSG00000026126",629,607,616,540,781,763
"ENSMUSG00000100280",48,84,67,47,82,96
"ENSMUSG00000037503",3428,4102,3937,2678,4050,3285
"ENSMUSG00000026123",15877,14987,15471,13611,15184,12955
"ENSMUSG00000045216",1377,2021,2119,1506,2014,1449
"ENSMUSG00000037470",2735,2906,2872,2920,3217,3879
"ENSMUSG00000047180",6777,6953,6641,8351,7522,7613
"ENSMUSG00000037447",267,191,260,237,239,218
"ENSMUSG00000010453",2245,2401,2596,1795,2637,2226
"ENSMUSG00000037432",92,96,111,102,118,114
"ENSMUSG00000001143",561,578,524,766,704,703
"ENSMUSG00000037408",10569,9623,10818,10133,10332,9230
"ENSMUSG00000001138",427,354,437,327,471,337
"ENSMUSG00000079610",64,62,67,46,90,64
"ENSMUSG00000026121",83,68,74,30,62,92
"ENSMUSG00000061518",8043,5494,5650,7369,7964,6764
"ENSMUSG00000037351",4809,3876,4242,3032,3868,3312
"ENSMUSG00000026117",97,56,55,34,71,68
"ENSMUSG00000026116",3139,3753,3874,3402,3360,3424
"ENSMUSG00000050122",54,86,85,20,34,24
"ENSMUSG00000026113",290,353,351,276,321,277
"ENSMUSG00000026112",3408,3338,3385,3047,4382,3677
"ENSMUSG00000026111",1654,1208,1217,933,1204,1099
"ENSMUSG00000026110",11989,18434,17664,10983,11477,12766
"ENSMUSG00000026090",1054,1057,1135,1068,1110,1252
"ENSMUSG00000060771",154,178,174,220,127,146
"ENSMUSG00000037216",62,94,74,50,69,60
"ENSMUSG00000026088",903,919,838,875,867,763
"ENSMUSG00000026087",2304,1481,1495,1458,1668,1383
"ENSMUSG00000058407",2629,2457,2303,2259,2398,2330
"ENSMUSG00000026083",2107,2721,2496,2460,2578,2506
"ENSMUSG00000026082",189,303,243,109,180,264
"ENSMUSG00000037138",24,81,77,81,69,78
"ENSMUSG00000026078",2200,1726,1608,1342,1703,1616
"ENSMUSG00000026077",1217,1137,1189,1184,1083,862
"ENSMUSG00000073702",17839,12150,12507,8243,10043,8869
"ENSMUSG00000003134",262,265,297,201,276,291
"ENSMUSG00000003135",728,678,672,601,707,606
"ENSMUSG00000048234",1558,1437,1468,1115,1527,1584
"ENSMUSG00000026074",581,734,672,585,718,674
"ENSMUSG00000026072",590,554,591,233,467,496
"ENSMUSG00000070942",46,64,72,27,25,45
"ENSMUSG00000026069",29,37,32,157,55,48
"ENSMUSG00000026062",18935,14079,14219,14713,15366,12392
"ENSMUSG00000041945",355,265,333,242,339,268
"ENSMUSG00000060679",1061,859,786,661,1065,1070
"ENSMUSG00000070939",1042,1073,1186,1000,1146,1090
"ENSMUSG00000010290",541,646,584,340,499,450
"ENSMUSG00000008136",342,320,310,722,389,381
"ENSMUSG00000066877",1620,1193,1418,909,1267,1203
"ENSMUSG00000057363",1344,1037,1055,794,984,828
"ENSMUSG00000041763",1922,2363,2179,1840,2395,2479
"ENSMUSG00000026049",207,217,224,117,148,111
"ENSMUSG00000026047",145,189,173,150,205,198
"ENSMUSG00000041684",514,570,515,315,424,362
"ENSMUSG00000026048",392,418,456,327,402,412
"ENSMUSG00000056870",182,150,157,85,166,124
"ENSMUSG00000026043",746,725,713,1123,758,630
"ENSMUSG00000026042",65,69,65,129,86,89
"ENSMUSG00000025995",440,602,546,362,533,492
"ENSMUSG00000084817",1695,1221,1101,1688,1264,1162
"ENSMUSG00000025993",14502,11284,10620,14127,22909,13027
"ENSMUSG00000025986",282,317,308,219,281,471
"ENSMUSG00000045954",47,56,46,95,78,53
"ENSMUSG00000026107",503,525,465,533,511,463
"ENSMUSG00000018417",1782,1723,1625,1536,2358,1814
"ENSMUSG00000072324",122,85,90,19,28,1
"ENSMUSG00000026104",1199,888,798,1791,1226,1539
"ENSMUSG00000026103",2894,3737,3458,2324,3696,2981
"ENSMUSG00000002881",1524,1475,1491,1524,1671,1834
"ENSMUSG00000043015",127,149,137,111,114,194
"ENSMUSG00000041439",7332,8607,8201,8086,7952,8419
"ENSMUSG00000026102",872,735,742,643,865,1072
"ENSMUSG00000041426",814,839,772,561,802,818
"ENSMUSG00000043629",518,382,354,234,259,299
"ENSMUSG00000026098",99,102,78,57,84,87
"ENSMUSG00000026097",635,555,463,449,517,461
"ENSMUSG00000026096",218,179,170,122,181,173
"ENSMUSG00000026095",150,131,111,105,115,79
"ENSMUSG00000026094",7737,7470,6920,6990,6472,5389
"ENSMUSG00000041303",554,555,495,404,517,551
"ENSMUSG00000073678",927,1303,1228,1256,1239,1571
"ENSMUSG00000052331",555,726,699,850,970,1127
"ENSMUSG00000025982",7721,9837,9218,7339,9306,9688
"ENSMUSG00000025981",1895,1741,1614,1528,1526,1414
"ENSMUSG00000025980",4518,5071,4892,4651,6537,7368
"ENSMUSG00000073676",1892,1804,1756,1753,2222,2305
"ENSMUSG00000025979",2646,2762,2581,2377,2556,2489
"ENSMUSG00000025978",163,145,135,72,171,158
"ENSMUSG00000097649",53,59,80,25,29,28
"ENSMUSG00000046994",459,839,737,358,688,489
"ENSMUSG00000038331",3394,3864,3904,3321,3905,4285
"ENSMUSG00000087022",297,170,172,111,168,243
"ENSMUSG00000038323",229,264,269,249,352,266
"ENSMUSG00000048495",171,152,114,145,151,127
"ENSMUSG00000025971",370,348,286,347,351,296
"ENSMUSG00000038305",2313,1924,1854,3197,2116,3106
"ENSMUSG00000054770",194,137,149,142,186,220
"ENSMUSG00000026039",80,83,66,50,75,97
"ENSMUSG00000103839",78,76,57,45,52,46
"ENSMUSG00000051223",9837,10368,9717,7492,9341,8291
"ENSMUSG00000026034",4223,5602,5036,3550,4224,3958
"ENSMUSG00000026035",285,275,239,201,238,214
"ENSMUSG00000026036",547,577,580,454,650,488
"ENSMUSG00000026037",291,337,287,187,369,276
"ENSMUSG00000038174",627,902,833,420,698,734
"ENSMUSG00000026032",1625,1138,1173,1089,1322,1297
"ENSMUSG00000047528",86,61,56,32,60,45
"ENSMUSG00000026031",1983,2378,2502,2137,2641,2501
"ENSMUSG00000026029",3994,4350,4163,5110,4633,5106
"ENSMUSG00000026028",2197,2238,2244,2181,3749,2788
"ENSMUSG00000026027",685,597,606,636,864,689
"ENSMUSG00000026024",421,485,466,485,427,577
"ENSMUSG00000041075",387,319,325,195,293,302
"ENSMUSG00000026021",3636,2911,2681,2141,2518,2402
"ENSMUSG00000026020",1328,1712,1633,1094,1454,1470
"ENSMUSG00000067336",1604,1983,2002,1541,1638,1845
"ENSMUSG00000041040",950,1140,1069,820,1109,1109
"ENSMUSG00000026019",226,295,283,196,257,276
"ENSMUSG00000026017",129,152,132,88,110,129
"ENSMUSG00000073664",2472,3782,3677,2058,3759,3650
"ENSMUSG00000049439",306,303,294,241,326,353
"ENSMUSG00000026782",121,142,120,99,154,233
"ENSMUSG00000026014",2350,3318,3117,2577,3064,2994
"ENSMUSG00000101188",322,298,345,195,352,378
"ENSMUSG00000052062",629,854,817,543,698,790
"ENSMUSG00000025969",1603,1443,1434,1115,2099,1956
"ENSMUSG00000040865",1016,1661,1672,1162,1714,1575
"ENSMUSG00000101599",63,171,152,106,120,166
"ENSMUSG00000025968",4334,4142,3925,4167,5732,5565
"ENSMUSG00000025967",13462,10443,10295,6094,8215,7513
"ENSMUSG00000025962",574,549,524,377,561,578
"ENSMUSG00000025959",229,257,283,197,235,245
"ENSMUSG00000025958",1348,1903,1823,1164,1702,1417
"ENSMUSG00000025956",248,205,209,156,166,153
"ENSMUSG00000070871",450,480,460,506,643,569
"ENSMUSG00000045005",4243,3499,3625,2841,4143,3485
"ENSMUSG00000051344",140,205,215,129,131,156
"ENSMUSG00000084416",1755,1299,1365,766,1151,1041
"ENSMUSG00000025950",7463,6412,5961,5721,8893,7724
"ENSMUSG00000025949",729,1032,995,718,974,982
"ENSMUSG00000015222",137,164,169,78,80,105
"ENSMUSG00000026005",1445,1391,1244,1084,1318,1408
"ENSMUSG00000026004",264,422,357,209,277,268
"ENSMUSG00000026003",5356,4753,4504,5920,7126,6375
"ENSMUSG00000026000",390,347,424,202,339,304
"ENSMUSG00000025991",215,248,277,202,393,234
"ENSMUSG00000025997",447,533,536,259,477,384
"ENSMUSG00000026196",84,80,82,74,88,118
"ENSMUSG00000050296",3009,3123,3099,3335,5265,2822
"ENSMUSG00000026192",1279,1244,1167,818,1250,1250
"ENSMUSG00000026193",106,121,139,358,191,175
"ENSMUSG00000101496",92,68,75,21,38,2
"ENSMUSG00000026189",196,126,137,81,93,144
"ENSMUSG00000026187",575,599,555,321,337,529
"ENSMUSG00000039354",351,310,316,258,321,330
"ENSMUSG00000046330",9110,5533,6213,4302,5684,4710
"ENSMUSG00000026185",56,85,106,193,141,95
"ENSMUSG00000055322",67,77,81,167,135,83
"ENSMUSG00000006304",11477,9994,9566,9738,11363,9974
"ENSMUSG00000006299",2855,2058,2573,1959,2568,2233
"ENSMUSG00000026179",505,315,373,346,484,378
"ENSMUSG00000006301",8879,7260,7330,8043,6637,6583
"ENSMUSG00000026176",3074,2224,2532,2227,2720,2298
"ENSMUSG00000026175",26413,20226,21670,31642,33843,32607
"ENSMUSG00000033364",1221,1216,1110,1255,1155,1199
"ENSMUSG00000026174",1218,1053,1005,1061,1197,1237
"ENSMUSG00000026135",163,321,310,191,314,200
"ENSMUSG00000026172",262,229,237,144,210,186
"ENSMUSG00000026171",541,528,534,505,578,471
"ENSMUSG00000033257",520,746,681,475,730,682
"ENSMUSG00000026170",410,365,335,138,251,201
"ENSMUSG00000006538",1940,1450,1742,1108,1660,1299
"ENSMUSG00000026162",118,110,93,105,124,90
"ENSMUSG00000026205",257,169,188,231,224,210
"ENSMUSG00000033159",2154,1651,1712,1702,1771,1722
"ENSMUSG00000049339",2515,1855,2056,1600,1874,1620
"ENSMUSG00000026197",1007,546,675,626,743,675
"ENSMUSG00000033124",1081,856,997,937,1333,987
"ENSMUSG00000026199",513,493,468,382,572,556
"ENSMUSG00000026200",64,79,61,48,72,70
"ENSMUSG00000026201",1321,1136,1127,1251,1306,1185
"ENSMUSG00000026202",2912,2672,2918,2640,2624,2684
"ENSMUSG00000026203",630,616,682,645,643,474
"ENSMUSG00000033061",134,109,123,83,100,76
"ENSMUSG00000026209",2368,1488,1685,1520,2132,1866
"ENSMUSG00000026208",59,70,81,215,181,89
"ENSMUSG00000033021",1407,1024,1195,1016,1354,1295
"ENSMUSG00000032997",148,90,126,123,185,194
"ENSMUSG00000026213",513,397,435,384,563,491
"ENSMUSG00000026235",240,276,267,130,172,248
"ENSMUSG00000032908",3826,4740,4424,5163,5193,5862
"ENSMUSG00000026245",1219,1130,1209,905,1303,1347
"ENSMUSG00000099364",83,101,100,60,35,47
"ENSMUSG00000032883",9149,8151,7340,7944,7404,8628
"ENSMUSG00000079470",2153,2162,2140,1470,1562,1647
"ENSMUSG00000050711",44,69,62,41,29,52
"ENSMUSG00000054702",974,1184,1092,869,746,1042
"ENSMUSG00000073643",2903,2538,2406,2403,2843,1485
"ENSMUSG00000026248",705,494,527,479,758,605
"ENSMUSG00000067106",103,30,48,45,59,75
"ENSMUSG00000004364",3538,3802,3531,2802,3511,3190
"ENSMUSG00000038608",240,409,363,277,321,394
"ENSMUSG00000087008",84,48,67,49,70,58
"ENSMUSG00000026142",978,910,911,838,1015,934
"ENSMUSG00000026150",2572,2566,2150,1840,2027,1932
"ENSMUSG00000026149",17422,17170,16245,11015,11203,8450
"ENSMUSG00000026159",1655,1765,1758,1941,2333,2001
"ENSMUSG00000026166",285,658,687,366,256,777
"ENSMUSG00000026219",5822,7412,7121,7027,7777,7656
"ENSMUSG00000073633",170,148,168,129,142,168
"ENSMUSG00000070034",323,347,345,447,376,501
"ENSMUSG00000070031",183,183,162,205,191,216
"ENSMUSG00000026222",1654,1595,1507,2254,1866,2156
"ENSMUSG00000052760",48,143,127,113,94,121
"ENSMUSG00000036707",13452,12455,12121,12540,11991,12313
"ENSMUSG00000026223",2036,1306,1514,1155,1350,1286
"ENSMUSG00000049608",158,121,127,95,98,116
"ENSMUSG00000099342",63,20,20,29,92,64
"ENSMUSG00000026227",943,717,777,547,793,637
"ENSMUSG00000026229",2192,2389,2256,1904,2606,2796
"ENSMUSG00000062590",127,177,158,114,110,153
"ENSMUSG00000079445",3433,6588,6882,5634,2802,5986
"ENSMUSG00000026234",6131,6674,6241,3808,5286,6423
"ENSMUSG00000026238",7358,6089,6254,4380,6750,6971
"ENSMUSG00000026239",347,280,274,355,356,307
"ENSMUSG00000026240",401,424,405,408,478,459
